Timestamp,Do you believe that a hotdog falls under the category of a sandwich?,What is the rationale behind your opinion?,Are you currently enrolled as an undergraduate or graduate student at the University of Virginia?,What is your field of study or major?,What state or country were you born in?,"If you are an undergraduate, what is your current academic year?",Gender: How do you identify?,"You preferred to self-describe for gender; please, share your identity below"
1/15/2025 21:53,No,The content inside isn’t covered u can see the sausage ,Yes,Applied statistics with data science conc + data science minor ,"VA, USA",Third year,Woman,
1/15/2025 21:53,No,"Sandwich bread is two separate slices, hotdog bun is one connected fold of bread and it's in its own category",Yes,Economics/Pre-Comm,"Virginia, United States of America",Second year,Woman,
1/15/2025 21:54,No,the bread is connected,Yes,biology,virginia,Third year,Woman,
1/15/2025 21:56,Yesss,"It is a piece of meat encapsulated by bread! If you’re saying that it’s not a sandwich because it’s connected at the bottom, then you should really tell Subway because they’ve been advertising their “sandwiches” for a long time.",Yes,Biology and Psychology,Virginia,Fourth year,Woman,
1/15/2025 21:57,NO,"A hot dog is not a sandwich because its opening is on the top and also the bun is connected whereas a sandwich is two separate pieces of bread. Also, the contents of a sandwich include more than just a sausage. ",Yes,Nursing,Virginia,Second year,Woman,
1/15/2025 21:59,Yes,Is a load cut in half and loaded with something in the middle,Yes,Mechanical engineering ,Vietnam,Second year,Woman,She her
1/15/2025 21:59,No,It's does not have two slices of bread around it,Yes,Biochemistry ,Ghana,First year,Woman,
1/15/2025 22:00,No,"when you take away the bread/bun, the contents still remain a hot dog. the same cannot be said for a sandwich",Yes,women gender and sexuality studies,"virginia, u.s",Fourth year,Woman,
1/15/2025 22:00,Nope,The bread is connected ,Yes,Pre Med,United States,First year,Man,
1/15/2025 22:00,Yes,"Idk, seems right
also, 2 bread w/ stuff in it",Yes,Physics + Mathematics,Louisiana,Second year,Man,
1/15/2025 22:03,No,"I believe that it falls under the same sort of thing as a sub—you could call it a sandwich, but that would not be a very good description of it! As a hot dog it is perfectly fine, as a sandwich it is lacking in many ways. Better to call it by it’s exact name^^",Yes,Biology,Virginia,First year,Non-binary,
1/15/2025 22:05,YES,,Yes,Mathematics,Florida,Fourth year,Woman,
1/15/2025 22:07,Yeah,"if a subway sandwich is a sandwich then a hot dog is a sandwich, unless if a subway sandwich is instead classified as a hotdog and the name has been misleading like how red pandas aren’t pandas or how when you study abroad you don’t really study. however, legally if subway continues to promote that it sells sandwiches then unless we decide to file a class action lawsuit like those irish did bc their bread is rlly cake then a hotdog is also a sandwich. 

also, if we tore the bun at its seams then if the hotdog is not a sandwich because the flaps are connected then what do we call a hotdog with buns divorced like a cheating husband because surely now it is a sandwich but ontologically it is still a hotdog, yet if a hot dog is not a sandwich then we can not call this alteration a hotdog. therefore logically the hotdog Must be a sandwich so we do not form this puzzling paradox",Yes,biology,United States,,Prefer not to answer,
1/15/2025 22:08,No,"a sandwich has a piece of bread on the top and a piece of bread on a bottom, a hot dog doesn’t have that ",Yes,Biology and behavioral neuroscience ,Virginia,Third year,Woman,
1/15/2025 22:09,Yes,"No matter how you look at it its a sandwich. The sausage is the filling/topper that is between/on top of one/two piece(s) of bread. If you consider the sausage to be between two pieces of bread then its a closed sandwich, and if you think the sausage is sitting on top of one (while slightly curved) piece of bread, then its an open-faced sandwich. So either way it lands in the sandwich category.",Yes,math,lithuania,,Woman,
1/15/2025 22:13,YES,,Yes,,,,,
1/15/2025 22:13,No,"sandwich should be two pieces of bread with filling inside, hot dog is one long folding bread therefore not sandwich",Yes,psychology,california,Third year,Prefer to self-describe,agender
1/15/2025 22:14,No,"Sandwich requires two pieces of bread, not a (hotdog) bun. Some may provide the counter argument of open face sandwiches. However, I believe open face sandwiches are more accurately described as toast with toppings. Others may describe a sub roll as being similar to a hotdog bun. I disagree. ",No,Applied Statistics ,Massachusetts ,,Woman,
1/15/2025 22:18,No,cuz it's a taco,Yes,East Asian studies ,Virginia ,Third year,Woman,
1/15/2025 22:23,NO,its a single piece of bread not fully cut into twos,Yes,econ,va,Second year,Woman,
1/15/2025 22:27,No,a cylindrical sandwich filling is a crazy idea,Yes,materials science and engineering ,US,Second year,Woman,
1/15/2025 22:28,No,"The modern, most widely-accepted conceptualization of a sandwich involves two slices of bread, and optionally an assortment of sliced deli meat and some other arrangement of foods between the two slices of bread. The key is the two distinct slices; hot dogs, generally,  involve a single piece of bread that is mostly split in the middle, but still remains intact. This violates the sandwich’s requirement for two slices of bread; therefore, a hotdog does not full under the category of a sandwich.",Yes,computer science,"pennsylvania, usa",Third year,Non-binary,
1/15/2025 22:31,No,"Hotdog buns don’t count as sandwich bread to me and sandwiches don’t have wieners in it - hotdogs is a different category, it’s its own thing",Yes,Computer science,America,Third year,Woman,Female
1/15/2025 22:37,Yes ,because,Yes,kine,maryland,Fourth year,Man,
1/15/2025 22:38,No,a sandwich is a burger or something flat/thin,Yes,undecided ,Virginia,First year,Woman,
1/15/2025 22:39,Yes,"If a hoagie is a sandwich, then so is a hotdog",Yes,Astronomy,Virginia,Fourth year,Man,
1/15/2025 22:47,Yes,"A sandwich is an item of food with fillings placed betwixt bread slices or in a sliced roll. For example, despite a sub sandwich not being two distinct pieces of bread, there is no doubt that it is a sandwich. Likewise, an open-faced turkey sandwich (typically turkey and gravy, occasionally with mashed potatoes, on top of a slice of bread), despite its name, is not a sandwich, due to it being placed atop the bread, and not betwixt. The filling debate is also a non-starter. Peanut butter and jelly sandwiches are undoubtedly sandwiches despite a lack of meat and cheese. Therefore, there is no comparable example of a sandwich, or non-sandwich that would disqualify the hot dog from being considered a sandwich. The better question is, is a gyro a sandwich? What about a taco? What determines if the bread counts as bread? Does the bread require leavening to make it a sandwich or is a flour tortilla sufficient? These are the real questions that we can use to determine the true reaches of the sandwich definition. As for who knows this, maybe only God himself.",Yes,Commerce,Virginia,Fourth year,Man,
1/15/2025 23:27,Yes,Sandwich -> Meat that is enclosed(partially/fully) by two carb layers,Yes,Comp Sci + DS minor,US,Third year,Man,
1/15/2025 23:29,No,It’s a taco,Yes,Nursing ,VA,Fourth year,Woman,
1/15/2025 23:31,N,sandwich has bread only touching two sides,Yes,neuro + applied stats,nj,First year,Woman,
1/15/2025 23:43,No,the bun is connected so it’s not two separate slices of bread,Yes,computer science,VA,Fourth year,Woman,
1/16/2025 0:06,yes,"A sub is a sandwich, by association hot dogs must also",Yes,Engineering,North Carolina,Third year,Man,
1/16/2025 8:04,No,Closed on one side with only one filling,Yes,Nursing,Virginia,Fourth year,Woman,
1/16/2025 8:37,No,taco,Yes,,,Second year,Non-binary,
1/16/2025 8:38,no,taco (ignore my first response),Yes,architecture,maryland,Second year,Non-binary,
1/16/2025 9:33,Yes,,Yes,Psychology,Virginia,Fourth year,Woman,
1/16/2025 9:37,No,A hot dog can't be a sandwich since the bun is all one piece that wraps around the meat instead of squishing it between two separate slices of bread.,Yes,Economics ,Virginia ,Third year,Woman,
1/16/2025 9:43,Noooo,"It is not eaten like a sandwich, it is eaten more like a taco.",Yes,Mechanical Engineering,Virginia,Fourth year,Woman,
1/16/2025 10:26,Yes,A hot dog is a subset of sandwiches ,Yes,Computer Science ,Virginia,Third year,Man,
1/16/2025 10:28,NO,it’s just not a sandwich no one can convince me it is ,Yes,Politics with a Concentration in government,Russia,Fourth year,Woman,
1/16/2025 10:55,No,"Although the bun “sandwiches” the hot dog link, the type of bread and meat is too different from a typical sandwich.",No,Pre-Law,"DC, United States",,Man,
1/16/2025 11:05,Yes,hot dog look like sub. Sub= sandwich ,Yes,Economics and Computer Science,"Virginia, USA",Fourth year,Man,
1/16/2025 11:10,No,Why is it called a hot dog then and not a sandwich,Yes,Public policy ,Virginia,Fourth year,Man,
1/16/2025 12:01,No,"A sandwich needs disconnected pieces of bread, the hotdog bun is a singular piece of bread.",Yes,Statistics,"Ohio, USA",Fourth year,Man,
1/16/2025 12:08,Yes,bread surrounds meat,Yes,Systems Engineering,VA,Fourth year,Woman,
1/16/2025 12:09,No,It’s more of a taco than a sandwich ,Yes,Systems Engineering,Florida,Fourth year,Woman,
